,sentence,sentence_opposite,DP,DP_opposite,D,D_opposite,A,A_opposite,N,N_opposite,ADV,ADV_opposite,V,V_opposite,other_args,other_args_opposite,label,pairID,slen
165,Those strange partners sometimes sing the aria nowadays.,That strange partner sometimes sings the aria nowadays.,Those partners,That partner,Those,That,strange,strange,partners,partner,sometimes,sometimes,sing,sings,"['the', 'aria']","['the', 'aria']",1,165,8
166,This popular banana sometimes underwhelms the ladies nowadays.,These popular bananas sometimes underwhelm the ladies nowadays.,This banana,These bananas,This,These,popular,popular,banana,bananas,sometimes,sometimes,underwhelms,underwhelm,"['the', 'ladies']","['the', 'ladies']",0,166,8
167,This strange girl hardly hides the boxes nowadays.,These strange girls hardly hide the boxes nowadays.,This girl,These girls,This,These,strange,strange,girl,girls,hardly,hardly,hides,hide,"['the', 'boxes']","['the', 'boxes']",0,167,8
168,That employed patient barely forgives the cashier nowadays.,Those employed patients barely forgive the cashier nowadays.,That patient,Those patients,That,Those,employed,employed,patient,patients,barely,barely,forgives,forgive,"['the', 'cashier']","['the', 'cashier']",0,168,8
169,These disorganized partners rarely scan the documentary nowadays.,This disorganized partner rarely scans the documentary nowadays.,These partners,This partner,These,This,disorganized,disorganized,partners,partner,rarely,rarely,scan,scans,"['the', 'documentary']","['the', 'documentary']",1,169,8
170,This ill dermatologist rarely freezes the lakes nowadays.,These ill dermatologists rarely freeze the lakes nowadays.,This dermatologist,These dermatologists,This,These,ill,ill,dermatologist,dermatologists,rarely,rarely,freezes,freeze,"['the', 'lakes']","['the', 'lakes']",0,170,8
171,Those great legislatures hardly love the books nowadays.,That great legislature hardly loves the books nowadays.,Those legislatures,That legislature,Those,That,great,great,legislatures,legislature,hardly,hardly,love,loves,"['the', 'books']","['the', 'books']",1,171,8
173,Those great lawyers sometimes annoy the oncologist nowadays.,That great lawyer sometimes annoys the oncologist nowadays.,Those lawyers,That lawyer,Those,That,great,great,lawyers,lawyer,sometimes,sometimes,annoy,annoys,"['the', 'oncologist']","['the', 'oncologist']",1,173,8
174,These nice doctors always light the spotlight nowadays.,This nice doctor always lights the spotlight nowadays.,These doctors,This doctor,These,This,nice,nice,doctors,doctor,always,always,light,lights,"['the', 'spotlight']","['the', 'spotlight']",1,174,8
176,Those bad committees often admire the hamsters nowadays.,That bad committee often admires the hamsters nowadays.,Those committees,That committee,Those,That,bad,bad,committees,committee,often,often,admire,admires,"['the', 'hamsters']","['the', 'hamsters']",1,176,8
178,These important customers often get the carriage nowadays.,This important customer often gets the carriage nowadays.,These customers,This customer,These,This,important,important,customers,customer,often,often,get,gets,"['the', 'carriage']","['the', 'carriage']",1,178,8
179,This unusual hill barely scares the plumbers nowadays.,These unusual hills barely scare the plumbers nowadays.,This hill,These hills,This,These,unusual,unusual,hill,hills,barely,barely,scares,scare,"['the', 'plumbers']","['the', 'plumbers']",0,179,8
180,This dry teenager always conceals the doctors nowadays.,These dry teenagers always conceal the doctors nowadays.,This teenager,These teenagers,This,These,dry,dry,teenager,teenagers,always,always,conceals,conceal,"['the', 'doctors']","['the', 'doctors']",0,180,8
181,This small car ever bores the guy nowadays.,These small cars ever bore the guy nowadays.,This car,These cars,This,These,small,small,car,cars,ever,ever,bores,bore,"['the', 'guy']","['the', 'guy']",0,181,8
183,These good legislatures seldom respect the pedestrian nowadays.,This good legislature seldom respects the pedestrian nowadays.,These legislatures,This legislature,These,This,good,good,legislatures,legislature,seldom,seldom,respect,respects,"['the', 'pedestrian']","['the', 'pedestrian']",1,183,8
184,That employed teenager scarcely passes the malls nowadays.,Those employed teenagers scarcely pass the malls nowadays.,That teenager,Those teenagers,That,Those,employed,employed,teenager,teenagers,scarcely,scarcely,passes,pass,"['the', 'malls']","['the', 'malls']",0,184,8
188,This fat waitress sometimes loses the libraries nowadays.,These fat waitresses sometimes lose the libraries nowadays.,This waitress,These waitresses,This,These,fat,fat,waitress,waitresses,sometimes,sometimes,loses,lose,"['the', 'libraries']","['the', 'libraries']",0,188,8
189,That smooth cucumber scarcely hurts the guest nowadays.,Those smooth cucumbers scarcely hurt the guest nowadays.,That cucumber,Those cucumbers,That,Those,smooth,smooth,cucumber,cucumbers,scarcely,scarcely,hurts,hurt,"['the', 'guest']","['the', 'guest']",0,189,8
190,These unlucky boys sometimes purchase the tomatoes nowadays.,This unlucky boy sometimes purchases the tomatoes nowadays.,These boys,This boy,These,This,unlucky,unlucky,boys,boy,sometimes,sometimes,purchase,purchases,"['the', 'tomatoes']","['the', 'tomatoes']",1,190,8
192,These intriguing waitresses rarely clean the sweater nowadays.,This intriguing waitress rarely cleans the sweater nowadays.,These waitresses,This waitress,These,This,intriguing,intriguing,waitresses,waitress,rarely,rarely,clean,cleans,"['the', 'sweater']","['the', 'sweater']",1,192,8
193,Those popular senators seldom forgive the banks nowadays.,That popular senator seldom forgives the banks nowadays.,Those senators,That senator,Those,That,popular,popular,senators,senator,seldom,seldom,forgive,forgives,"['the', 'banks']","['the', 'banks']",1,193,8
194,Those sick doctors always remember the girl nowadays.,That sick doctor always remembers the girl nowadays.,Those doctors,That doctor,Those,That,sick,sick,doctors,doctor,always,always,remember,remembers,"['the', 'girl']","['the', 'girl']",1,194,8
195,Those young doctors sometimes sink the canoe nowadays.,That young doctor sometimes sinks the canoe nowadays.,Those doctors,That doctor,Those,That,young,young,doctors,doctor,sometimes,sometimes,sink,sinks,"['the', 'canoe']","['the', 'canoe']",1,195,8
198,Those important adults barely drive the cart nowadays.,That important adult barely drives the cart nowadays.,Those adults,That adult,Those,That,important,important,adults,adult,barely,barely,drive,drives,"['the', 'cart']","['the', 'cart']",1,198,8
199,Those great mushrooms rarely disturb the drivers nowadays.,That great mushroom rarely disturbs the drivers nowadays.,Those mushrooms,That mushroom,Those,That,great,great,mushrooms,mushroom,rarely,rarely,disturb,disturbs,"['the', 'drivers']","['the', 'drivers']",1,199,8
200,Those nice pedestrians hardly fight the hairdressers nowadays.,That nice pedestrian hardly fights the hairdressers nowadays.,Those pedestrians,That pedestrian,Those,That,nice,nice,pedestrians,pedestrian,hardly,hardly,fight,fights,"['the', 'hairdressers']","['the', 'hairdressers']",1,200,8
202,These old patients barely disturb the dentist nowadays.,This old patient barely disturbs the dentist nowadays.,These patients,This patient,These,This,old,old,patients,patient,barely,barely,disturb,disturbs,"['the', 'dentist']","['the', 'dentist']",1,202,8
203,This hopeful pedestrian sometimes breeds the horses nowadays.,These hopeful pedestrians sometimes breed the horses nowadays.,This pedestrian,These pedestrians,This,These,hopeful,hopeful,pedestrian,pedestrians,sometimes,sometimes,breeds,breed,"['the', 'horses']","['the', 'horses']",0,203,8
205,These giant children rarely fight the guests nowadays.,This giant child rarely fights the guests nowadays.,These children,This child,These,This,giant,giant,children,child,rarely,rarely,fight,fights,"['the', 'guests']","['the', 'guests']",1,205,8
206,These hot tutors often alarm the tutors nowadays.,This hot tutor often alarms the tutors nowadays.,These tutors,This tutor,These,This,hot,hot,tutors,tutor,often,often,alarm,alarms,"['the', 'tutors']","['the', 'tutors']",1,206,8
207,These sick senators sometimes irritate the library nowadays.,This sick senator sometimes irritates the library nowadays.,These senators,This senator,These,This,sick,sick,senators,senator,sometimes,sometimes,irritate,irritates,"['the', 'library']","['the', 'library']",1,207,8
208,Those big cashiers sometimes steal the chair nowadays.,That big cashier sometimes steals the chair nowadays.,Those cashiers,That cashier,Those,That,big,big,cashiers,cashier,sometimes,sometimes,steal,steals,"['the', 'chair']","['the', 'chair']",1,208,8
209,Those careful ladies often lead the associates nowadays.,That careful lady often leads the associates nowadays.,Those ladies,That lady,Those,That,careful,careful,ladies,lady,often,often,lead,leads,"['the', 'associates']","['the', 'associates']",1,209,8
210,Those real waitresses sometimes observe the students nowadays.,That real waitress sometimes observes the students nowadays.,Those waitresses,That waitress,Those,That,real,real,waitresses,waitress,sometimes,sometimes,observe,observes,"['the', 'students']","['the', 'students']",1,210,8
211,These employed lawyers often catch the teacher nowadays.,This employed lawyer often catches the teacher nowadays.,These lawyers,This lawyer,These,This,employed,employed,lawyers,lawyer,often,often,catch,catches,"['the', 'teacher']","['the', 'teacher']",1,211,8
212,Those old guests scarcely appreciate the senator nowadays.,That old guest scarcely appreciates the senator nowadays.,Those guests,That guest,Those,That,old,old,guests,guest,scarcely,scarcely,appreciate,appreciates,"['the', 'senator']","['the', 'senator']",1,212,8
213,That exposed dancer seldom examines the commentaries nowadays.,Those exposed dancers seldom examine the commentaries nowadays.,That dancer,Those dancers,That,Those,exposed,exposed,dancer,dancers,seldom,seldom,examines,examine,"['the', 'commentaries']","['the', 'commentaries']",0,213,8
214,That ugly dermatologist scarcely finds the plumbers nowadays.,Those ugly dermatologists scarcely find the plumbers nowadays.,That dermatologist,Those dermatologists,That,Those,ugly,ugly,dermatologist,dermatologists,scarcely,scarcely,finds,find,"['the', 'plumbers']","['the', 'plumbers']",0,214,8
215,These black projectors hardly embarrass the association nowadays.,This black projector hardly embarrasses the association nowadays.,These projectors,This projector,These,This,black,black,projectors,projector,hardly,hardly,embarrass,embarrasses,"['the', 'association']","['the', 'association']",1,215,8
218,That unlucky guest hardly aggravates the school nowadays.,Those unlucky guests hardly aggravate the school nowadays.,That guest,Those guests,That,Those,unlucky,unlucky,guest,guests,hardly,hardly,aggravates,aggravate,"['the', 'school']","['the', 'school']",0,218,8
219,This bad lawyer always praises the electricians nowadays.,These bad lawyers always praise the electricians nowadays.,This lawyer,These lawyers,This,These,bad,bad,lawyer,lawyers,always,always,praises,praise,"['the', 'electricians']","['the', 'electricians']",0,219,8
220,Those mean lawyers sometimes boycott the river nowadays.,That mean lawyer sometimes boycotts the river nowadays.,Those lawyers,That lawyer,Those,That,mean,mean,lawyers,lawyer,sometimes,sometimes,boycott,boycotts,"['the', 'river']","['the', 'river']",1,220,8
221,These attractive waitresses often admire the actor nowadays.,This attractive waitress often admires the actor nowadays.,These waitresses,This waitress,These,This,attractive,attractive,waitresses,waitress,often,often,admire,admires,"['the', 'actor']","['the', 'actor']",1,221,8
222,These old waitresses hardly get the skateboards nowadays.,This old waitress hardly gets the skateboards nowadays.,These waitresses,This waitress,These,This,old,old,waitresses,waitress,hardly,hardly,get,gets,"['the', 'skateboards']","['the', 'skateboards']",1,222,8
223,Those careful patients barely have the coffee nowadays.,That careful patient barely has the coffee nowadays.,Those patients,That patient,Those,That,careful,careful,patients,patient,barely,barely,have,has,"['the', 'coffee']","['the', 'coffee']",1,223,8
224,This delighted waiter rarely spends the check nowadays.,These delighted waiters rarely spend the check nowadays.,This waiter,These waiters,This,These,delighted,delighted,waiter,waiters,rarely,rarely,spends,spend,"['the', 'check']","['the', 'check']",0,224,8
